Open_Time,Open,High,Low,Close,Volume
2022-12-01 00:00:00,17165.53,17236.29,17122.65,17161.55,14452.68614
2022-12-01 01:00:00,17161.55,17170.32,17105.37,17117.13,8649.60607
2022-12-01 02:00:00,17117.13,17142.99,17088.01,17123.98,7980.58514
2022-12-01 03:00:00,17124.53,17169.73,17122.18,17150.98,7343.39472
2022-12-01 04:00:00,17150.98,17168.0,17129.27,17142.23,6733.99332
2022-12-01 05:00:00,17142.23,17151.75,17059.58,17110.11,7903.84454
2022-12-01 06:00:00,17110.95,17130.0,17084.49,17120.89,6388.70353
2022-12-01 07:00:00,17120.35,17124.67,17064.11,17070.21,7932.97989
2022-12-01 08:00:00,17070.21,17137.75,17058.51,17110.79,9765.40835
2022-12-01 09:00:00,17110.79,17119.25,17086.01,17111.7,8415.12523
2022-12-01 10:00:00,17111.4,17113.98,17086.01,17096.31,6516.33488
2022-12-01 11:00:00,17096.31,17107.74,17042.37,17102.47,8940.59919
2022-12-01 12:00:00,17102.47,17156.33,17100.0,17136.27,10225.42078
2022-12-01 13:00:00,17136.27,17324.0,16974.44,17088.86,23716.00747
2022-12-01 14:00:00,17089.84,17143.78,17027.66,17104.27,17194.74213
2022-12-01 15:00:00,17104.27,17145.58,16895.02,16977.67,21844.50807
2022-12-01 16:00:00,16977.6,17000.0,16919.4,16981.76,10916.80757
2022-12-01 17:00:00,16981.76,16990.0,16928.2,16967.67,8552.5107
2022-12-01 18:00:00,16967.67,16976.33,16908.05,16931.04,7326.21353
2022-12-01 19:00:00,16931.74,16961.32,16897.15,16951.8,6439.38749
2022-12-01 20:00:00,16952.49,16967.79,16909.11,16916.12,5505.08568
2022-12-01 21:00:00,16917.05,16939.27,16855.01,16924.08,7159.06387
2022-12-01 22:00:00,16924.08,16987.29,16917.42,16965.24,6016.75879
2022-12-01 23:00:00,16965.9,16980.24,16940.83,16977.37,6898.4151
2022-12-02 00:00:00,16978.0,17046.45,16951.46,17037.82,10772.38556
2022-12-02 01:00:00,17037.82,17048.99,16869.57,16925.79,11946.92301
